radio,ரேடியோ
vaan,வான்
theyone,தியேன்
</s>,</s>
paraivaigalin,பறவைகளின்
ennikkai,எண்ணிக்கை
kurithu,குறித்து
arasin,அரசின்
athigarapoorva,அதிகாரப்பூர்வ
kurippu,குறிப்பு
</s>,</s>
1911yil,1911இல்
nadantha,நடந்த
tharpaarukku,தர்பாருக்கு
anaithu,அனைத்து
mannararasarkalum,மன்னரரசர்களும்
avaikku,அவைக்கு
vanthirunthanar,வந்திருந்தனர்
</s>,</s>
christoper,கிறிசுடோபர்
viruthu,விருது
</s>,</s>
ulagilaeye,உலகிலேயே
miga,மிக
athika,அதிக
sirpangkalai,சிற்பங்களைக்
kondululla,கொண்டுள்ள
itharku,இதற்கு
aanduthorum,ஆண்டுதோறும்
1.4,1.4
kodi,கோடி
makkal,மக்கள்
varugai,வருகை
tharukindranar,தருகின்றனர்
</s>,</s>
nithi,நிதிப்
patraakuraikal,பற்றாக்குறைகள்
kaaalamkadanthu,காலம்கடந்து
kandariyapattal,கண்டறியப்பட்டால்
matrum,மற்றும்
nathikal,நிதிகள்
pothaathathaaka,போதாததாக
irunthal,இருந்தால்
niruvana,நிறுவன
muthalidukalai,முதலீடுகளை
vazhanga,வழங்க
vangikal,வங்கிகள்
niraakarikalam,நிராகரிக்கலாம்
matrum,மற்றும்
ithan,இதன்
vilaivaaka,விளைவாக
thivaalaaga,திவாலாவாக
aavathilirunthu,ஆவதிலிருந்து
thapika,தப்பிக்க
mudiyathu,முடியாது
</s>,</s>
maerku,மேற்கு
africavil,ஆபிரிக்காவில்
ebola,எபோலா
noi,நோய்ப்
paraval,பரவல்
2014,2014
noi,நோய்த்
thadupukaaga,தடுப்புக்காக
china,சீனா
melum,மேலும்
232,232
raanuva,இராணுவ
maruththuva,மருத்துவப்
paniyaalarkalai,பணியாளர்களை
merku,மேற்கு
africavirku,ஆப்பிரிக்காவிற்கு
anupiyathu,அனுப்பியது
ab,ஏபி
</s>,</s>
a-il,ஏ.-இல்
oru,ஒரு
kootaippanthu,கூடைப்பந்து
aniyaagum,அணியாகும்
</s>,</s>
penkal,பெண்கள்
viduthalai,விடுதலை
munnani,முன்னணி
enbathu,என்பது
tamilnaatil,தமிழ்நாட்டில்
iyankum,இயங்கும்
oor,ஒர்
idathusaari,இடதுசாரி
amaipin,அமைப்பின்
penkal,பெண்கள்
viduthalaikaana,விடுதலைக்கான
amaipaagum,அமைப்பாகும்
</s>,</s>
thaayakathil,தாயகத்தில்
irukum,இருக்கும்
makkaludan,மக்களுடன்
thodarpukalai,தொடர்புகளை
penuvathilum,பேணுவதிலும்
theevaiyerpadin,தேவையேற்படின்
uthavikalaai,உதவிகளை
parimaari,பரிமாறி
kolvatharkum,கொள்வதற்க்கும்
ivvondriyangkal,இவ் ஒன்றியங்கள்
vazhi seykindrana,வழிசெய்கின்றன
</s>,</s>
saara,சாரா
fransisu,பிரான்சிசு
waiting,வைட்டிங்
</s>,</s>
innagarm,இந்நகரம்
pathimoondram,பதின்மூன்றாம்
nootraandil,நூற்றாண்டில்
ki.pi,கி.பி
1254-91,1254-91
vaaazhntha,வாழ்ந்த
moondram,மூன்றாம்
narasimman,நரசிம்மன்
endra,என்ற
mannanin,மன்னனின்
thalapathiyaana,தளபதியான
thandanaayakkaa,தண்டநாயக்கா
soma,சோமா
enbavaraala,என்பவரால்
kattapatathu,கட்டப்பட்டது
</s>,</s>
2006,2006
aam,ஆம்
aandil,ஆண்டில்
idampetra,இடம்பெற்ற
lebaban,லெபனான்
porin,போரின்
pothu,போது
ivar,இவர்
thaarik,தாரிக்
ali,அலி
john,ஜான்
parkar,பர்கர்
nom,நோம்
somsky,சொம்ஸ்கி
edwardo,எடுவர்டோ
kaliano,கலியானோ
navomi,நவோமி
kilayen,கிளயேன்
harold,ஹரோல்ட்
pinter,பின்ட்டர்
arunthathi,அருந்ததி
roy,ராய்
hovard,ஹோவார்ட்
sin,சின்
aakiyorudan,ஆகியோடுடன்
sernthu,சேர்ந்து
arikaiyondril,அறிக்கையொன்றில்
kaiyezhuthu,கையெழுத்து
ittar,இட்டார்
</s>,</s>
velikoodukalin,வெளிக்கோடுகளின்
maarupaatinaal,மாறுபாட்டினால்
paarvai,பார்வைக்
kushapam,குழப்பம்
undaavathaaka,உண்டாவதாக
krayak-o,கிரைய்க்-ஓ
piriyaan,பிரியான்
kaarnsvit,கார்ன்ஸ்வீட்
maayathotram,மாயத்தோற்றம்
uraikirathu,உரைக்கிறது
</s>,</s>
velsami,வேல்சாமி
aagiyavarkalodu,ஆகியவர்களோடு
inainthu,இணைந்து
nadathiyavar,நடத்தியவர்
</s>,</s>
saaranathan,சாரநாதன்
poroyiyal,பொறியியல்
kalloori,கல்லூரி
</s>,</s>
senguthaana,செங்குத்தான
moolaivittangkalaik,மூலைவிட்டங்களைக்
konda,கொண்ட
inaikaram(irandavathu,இணைகரம்(இரண்டாவது
kunam,குணம்
saaysathuram,சாய்சதுரம்
aagum,ஆகும்
</s>,</s>
paniyaal,பணியால்
paathikapadakuudiya,பாதிக்கப்படக்கூடிய
sothukalin,சொத்துகளின்
udaimaiurimaiyaalarkal,உடைமைஉரிமையாளர்கள்
allathu,அல்லது
iyakupavarkalidamirunthu,இயக்குபவர்களிடமிருந்து
urimaiyalithalai,உரிமையளித்தலைப்
peruthal,பெறுதல்
</s>,</s>
maanila,மாநில
aatchu,ஆட்சி
vazhamaiyaaka,வழமையாக
oor,ஓர்
muthalamaicharin,முதலமைச்சரின்
keel,கீழ்
iyankathu,இயங்காது
kudiyarasu,குடியரசுத்
thalaivarin,தலைவரின்
keezh,கீழ்
iyangkuvathal,இயங்குவதால்
ithanai,இதனை
kudiyarasuththalaivaraatchi,குடியரசுத்தலைவராட்சி
endru,என்று
kuripidukindranar,குறிப்பிடுகின்றனர்
</s>,</s>
ithu,இது
punitha,புனித
siral,சிறில்
jerom,ஜெரோம்
aakiyooraal,ஆகியோரால்
4,4
aam,ஆம்
nootraandil,நூற்றாண்டில்
kuripidappattathu,குறிப்பிடப்பட்டது
</s>,</s>
payanithal,பயணித்தல்
</s>,</s>
aanakaadu,ஆனக்காடு
vadaku,வடக்கு
</s>,</s>
ko,கோ
aathan,ஆதன்
sollirumporai,செல்லிரும்பொறை
makan,மகன்
perungkadungko,பெருங்கடுங்கோ
makan,மகன்
ilangkadungko,இளங்கடுங்கோ
enbathu,என்பது
antha,அந்தக்
kaalvazhi,கால்வழி
varisaimurai,வரிசைமுறை
</s>,</s>
varum,வரும்
aandukalil,ஆண்டுகளில்
meelum,மேலும்
kooduthal,கூடுதல்
kalvithittangkalim,கல்வித்திட்டங்களும்
aayvu,ஆய்வு
thittangkalum,திட்டங்களும்
matra,மற்ற
e.tho.kazhakangkalai,இ.தொ.கழகங்களைப்
pondrea,போன்றே
vazhangkapadum,வகுக்கப்படும்
</s>,</s>
indru,இன்று
portugalaaka,போர்த்துகலாக
irukum,இருக்கும்
paguthikalai,பகுதிகளை
uromar,உரோமர்
kaipatruvatharku,கைப்பற்றுவதற்கு
eerathaazha,ஏறத்தாழ
200,200
aandukal,ஆண்டுகள்
pidiththathudan,பிடித்ததுடன்
pala,பல
ilam,இளம்
veerarkalum,போர்வீரர்களும்
thamathu,தமது
uyirkalai,உயிர்களை
izhanthanar,இழந்தனர்
</s>,</s>
pandaiya,பண்டைய
iyarsorkal,இயற்சொற்கள்
pala,பல
avatril,அவற்றில்
viravi,விரவி
vanthamaiyaal,வந்தமையால்
avatrai,அவற்றைப்
pothumakkal,பொதுமக்கள்
unarnthukollum,உணர்ந்துகொள்ளும்
poruttu,பொருட்டு
nallarinjarkal,நல்லறிஞர்கள்
palar,பலர்
paadalkaluku,பாடல்களுக்கு
urai,உரை
ezhuthinar,எழுதினர்
</s>,</s>
seramaan,சேரமான்
maari,மாரி
venko,வெண்கோ
sozhan,சோழன்
iraasasuyam,இராசசூயம்
veatta,வேட்ட
perunarkilli,பெருநற்கிள்ளி
pandiyan,பாண்டியன்
kaanaperail,கானப்பேரெயில்
thantha,தந்த
ukkira,உக்கிரப்
peruvazhuthi,பெருவழுதி
aakiya,ஆகிய
moovarum,மூவரும்
nanbarkalaaka,நண்பர்களாகக்
koodi,கூடி
makizhnthiruka,மகிழ்ந்திருக்கக்
kandu,கண்டு
vaanathu,வானத்து
meenkal,மீன்கள்
polavum,போலவும்
mazhaiyin,மழையின்
thivalaikal,திவலைகள்
polavum,போலவும்
uyarnthongki,உயர்ந்தோங்கிப்
